sku,product_line,generation,screen_size,platform,cpu_tier,ram_gb,storage_gb,color,connectivity,is_demo,is_taa,raw_description,status
EP2-33242,Surface Laptop,7,13.8,Intel,Ultra 5,16,256,Platinum,WiFi,false,false,"Surface Laptop 7 - 13.8in - Ultra 5 236V - U5/16/256 - Platinum",active
EP2-47614,Surface Laptop,8,13.8,Intel,Ultra 5,16,256,Platinum,WiFi,false,false,"Surface Laptop 8 - 13.8in - Ultra 5 - U5/16/256 - Platinum",active
