,,EP2-33230,Surface Laptop 7 - 13.8in - Ultra 5 238V - U5/32/512 - Black ,,,,,,,EP2-37087,Surface Laptop 5G - 13.8in - Ultra 7 268V - U7/32/1TB  ,,,,,,,,,
,,EP2-33248,Surface Laptop 7 - 13.8in - Ultra 5 238V - U5/32/512 - Platinum ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,EP2-33225,Surface Laptop 7 - 13.8in - Ultra 7 266V - U7/16/256 - Black ,,,,,,,,,,,,,,,,,
,,EP2-33243,Surface Laptop 7 - 13.8in - Ultra 7 266V - U7/16/256 - Platinum ,,,,,,,,,,,,,,,,,
,,EP2-33229,Surface Laptop 7 - 13.8in - Ultra 7 266V - U7/16/512 - Black ,,,,,,,,,,,,,,,,,
,,EP2-33247,Surface Laptop 7 - 13.8in - Ultra 7 266V - U7/16/512 - Platinum ,,,,,,,,,,,,,,,,,
,,EP2-33227,Surface Laptop 7 - 13.8in - Ultra 7 268V - U7/32/256 - Black ,,,,,,,,,,,,,,,,,
,,EP2-33245,Surface Laptop 7 - 13.8in - Ultra 7 268V - U7/32/256 - Platinum ,,,,,,,,,,,,,,,,,
,,EP2-33231,Surface Laptop 7 - 13.8in - Ultra 7 268V - U7/32/512 - Black ,,,,,,,,,,,,,,,,,
,,EP2-33249,Surface Laptop 7 - 13.8in - Ultra 7 268V - U7/32/512 - Platinum ,,,,,,,,,,,,,,,,,
,,EP2-33223,Surface Laptop 7 - 13.8in - Ultra 7 268V - U7/32/1TB - Black ,,,,,,,,,,,,,,,,,
,,EP2-33241,Surface Laptop 7 - 13.8in - Ultra 7 268V - U7/32/1TB - Platinum ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Surface Laptop 7 - 15 inch - (INTEL) Windows 11 Pro SKU's,,,,,,,,,,,,,,,,,,
,,EP2-33233,Surface Laptop 7 - 15in - Ultra 5 236V - U5/16/256 - Black ,,,,,,,,,,,,,,,,,
,,EP2-33251,Surface Laptop 7 - 15in - Ultra 5 236V - U5/16/256 - Platinum ,,,,,,,,,,,,,,,,,
,,EP2-33237,Surface Laptop 7 - 15in - Ultra 5 236V - U5/16/512 - Black ,,,,,,,,,,,,,,,,,
,,EP2-33255,Surface Laptop 7 - 15in - Ultra 5 236V - U5/16/512 - Platinum ,,,,,,,,,,,,,,,,,
,,EP2-33235,Surface Laptop 7 - 15in - Ultra 5 238V - U5/32/256 - Black ,,,,,,,,,,,,,,,,,
,,EP2-33253,Surface Laptop 7 - 15in - Ultra 5 238V - U5/32/256 - Platinum ,,,,,,,,,,,,,,,,,
,,EP2-33239,Surface Laptop 7 - 15in - Ultra 5 238V - U5/32/512 - Black ,,,,,,,,,,,,,,,,,
,,EP2-33257,Surface Laptop 7 - 15in - Ultra 5 238V - U5/32/512 - Platinum ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,EP2-33234,Surface Laptop 7 - 15in - Ultra 7 266V - U7/16/256 - Black ,,,,,,,,,,,,,,,,,
,,EP2-33252,Surface Laptop 7 - 15in - Ultra 7 266V - U7/16/256 - Platinum ,,,,,,,,,,,,,,,,,
,,EP2-33238,Surface Laptop 7 - 15in - Ultra 7 266V - U7/16/512 - Black ,,,,,,,,,,,,,,,,,
,,EP2-33256,Surface Laptop 7 - 15in - Ultra 7 266V - U7/16/512 - Platinum ,,,,,,,,,,,,,,,,,
,,EP2-33236,Surface Laptop 7 - 15in - Ultra 7 268V - U7/32/256 - Black ,,,,,,,,,,,,,,,,,
,,EP2-33254,Surface Laptop 7 - 15in - Ultra 7 268V - U7/32/256 - Platinum ,,,,,,,,,,,,,,,,,
,,EP2-33240,Surface Laptop 7 - 15in - Ultra 7 268V - U7/32/512 - Black ,,,,,,,,,,,,,,,,,
,,EP2-33258,Surface Laptop 7 - 15in - Ultra 7 268V - U7/32/512 - Platinum ,,,,,,,,,,,,,,,,,
,,EP2-33232,Surface Laptop 7 - 15in - Ultra 7 268V - U7/32/1TB - Black ,,,,,,,,,,,,,,,,,
,,EP2-33250,Surface Laptop 7 - 15in - Ultra 7 268V - U7/32/1TB - Platinum ,,,,,,,,,,,,,,,,,
