MFR #,IM SKU,Product Description, MSRP ,Ingram On-Hand,Ingram On-Order
J61-00001,JP5449,SURFACE ADPTV MOUSE TAILTHUMB SUPP COM BLACK, $14.99 ,5,0
J81-00001,JP5448,SURFACE  ADAPTIVE DUAL BUTTONCOM BLACK, $59.99 ,6,0
J85-00001,JP5451,SURFACE ADAPTIVE D-PAD BUTTONCOM BLACK, $59.99 ,1,0
KCN-00023,7MR420,SURFACE GO TYPE COVER ERCIAL., $119.99 ,337,0
LPL-00001,6LA355,SURFACE HUB 2 CAMERA BA US/CAHW COMMERCIAL, $199.99 ,1,0
NWG-00001,6GT223,SURFACE PEN TIP 80PK, $89.99 ,123,0
T8I-00001,11ZD41,SURFACE DOCK THUNDERBOLT 4., $299.99 ,537,1568
TQP-00020,03WA43,SURFACE HUB 2S 85IN 8GB 128GB1LICS," $21,999.99 ",1,0
VYA-00001,HK2664,DEMO SURFACE HUB 3 85IN.," $22,999.99 ",4,0
VYG-00001,HK2662,DEMO SURFACE HUB 3 85IN TAA.," $23,099.99 ",1,0
W8Z-00001,HG5879,SURFACE 65W PSU, $99.99 ,661,1360
XT9-00001,HQ5363,SRFCLPTPGO3 A/B COVER FRU PLAT1LICS FIELD REPL PART, $344.99 ,15,0
Y8U-00001,JW3281,SURFACE PRO FLEX KEYBOARD WITHSLIM PEN  BLACK KEYBOARD BLACK PEN, $499.98 ,144,105
ZFB-00001,KY1743,SURFACE PRO 11 5G ELI/16/512SNAP WIN11 PLATINUM," $2,249.99 ",330,13
ZGV-00001,JW3282,SURFACE LAPTOP 7 13IN SNAPPLS/16/256 WIN11 PLATINUM," $1,449.99 ",24,574
ZGX-00001,JW3271,SURFACE LAPTOP 7 13IN SNAPPLS/16/512CM WIN11 PLATINUM," $1,649.99 ",131,30
ZGX-00038,JW3267,SURFACE LAPTOP 7 13IN SNAP SNAPPLS/16/512 WIN11 GRAPHITE," $1,649.99 ",1,0
ZGZ-00001,JW3269,SURFACE LAPTOP 7 13IN SNAPELI/16/512 WIN11 PLATINUM," $1,849.99 ",53,0
ZGZ-00038,JW3273,SURFACE LAPTOP 7 13IN SNAPELI/16/512 WIN11 GRAPHITE," $1,849.99 ",232,0
ZHB-00001,JW3278,SURFACE LAPTOP 7 13IN SNAPELI/32/1TB WIN11 GRAPHITE," $2,899.99 ",790,0
ZHP-00001,JW3279,SURFACE LAPTOP 7 15IN SNAPELI/16/256 WIN11 PLATINUM," $1,749.99 ",444,0
ZHQ-00001,JW3265,SURFACE LAPTOP 7 15IN SNAP SNAPELI/16/512 WIN11 PLATINUM," $1,949.99 ",114,0
ZHQ-00026,JW3286,SURFACE LAPTOP 7 15IN SNAPELI/16/512 WIN11 GRAPHITE," $1,949.99 ",67,51
ZHR-00001,JW3272,SURFACE LAPTOP 7 15IN SNAPELI/32/1TB WIN11 GRAPHITE," $2,999.99 ",790,0
ZIK-00001,JW3270,SURFACE PRO 11 PLS/16/256 SNAPPLATINUM," $1,449.99 ",11,32
ZIL-00019,JW3266,SURFACE PRO 11 PLS/16/512 SNAPBLACK," $1,649.99 ",188,0
ZIN-00001,JW3275,SURFACE PRO 11 ELI/16/512 SNAPPLATINUM," $1,949.99 ",413,107
ZIP-00001,JW3268,SURFACE PRO 11 ELI/16/1TB SNAPPLATINUM," $2,349.99 ",116,0
ZIR-00001,JW3276,SURFACE PRO 11 ELI/32/1TB SNAPPLATINUM," $2,999.99 ",175,0
ZRA-00001,JW3288,SURFACE PRO FLEX KEYBOARD WITHPEN STORAGE  BLACK, $399.99 ,21,30
ZRA-00023,JW3287,SURFACE PRO FLEX KEYBOARD WITHBOLD KEYSET  BLACK, $399.99 ,60,15
ZXY-00001,JW3280,SURFACE LAPTOP 7 13IN SNAP ELI16/1T WIN11 PLATINUM," $2,249.99 ",28,0
ZXY-00038,JW3285,SURFACE LAPTOP 7 13IN SNAPELI/16/1TBCM WIN11 GRAPHITE," $2,249.99 ",82,26
ZYU-00001,JX3494,SURFACE LAPTOP 7 15IN SNAP ELI16/1T WIN11 PLATINUM," $2,349.99 ",78,0
ZYU-00026,JW3283,SURFACE LAPTOP 7 15IN SNAPELI/16/1TB WIN11 GRAPHITE," $2,349.99 ",2,0
